sku,name,category,wholesale_price,retail_price,supplier_id
SOF-001,Westwood 84" Gray Fabric Sofa with Reversible Chaise - Transitional Modern Living Room Furniture,Couches,520,899,1
TBL-002,Madison Extendable Dining Table in Weathered Oak Finish - Seats 6 to 8 People,Dining,380,649,2
CHA-003,Grey Tufted Button Back Upholstered Dining Chair Set of 2 - Modern Kitchen Seating,Dining,145,249,3
BED-004,Kingsley Queen Size Upholstered Platform Bed Frame with Adjustable Headboard in Charcoal Gray,Bedroom,410,699,1
DESK-005,Harper 48" Computer Desk in Espresso Brown - Home Office Writing Table,Office,185,329,2
RUG-006,Safavieh Monaco Collection 8x10 Area Rug in Beige and Blue Geometric Pattern - Machine Washable,Living,280,479,3
LAMP-007,Brass Adjustable Swivel Floor Lamp with USB Charging Port - Modern Reading Light,Living,85,149,4
CAB-008,Bedford 5-Drawer Dresser in White Oak Finish - Bedroom Storage Furniture,Bedroom,450,799,2
SEC-009,Bradford 2-Piece Sectional Sofa in Linen Gray with Pillows - Reversible Chaise Configuration,Couches,680,1199,1
BAR-010,Industrial 30" Bar Cart with Wine Glass Rack and Wood Shelf - Mobile Kitchen Island,Kitchen,195,349,4
TVS-011,Modern TV Stand with Sliding Barn Doors and Media Storage Compartment - 60" Wide,Living,320,549,2
OTM-012,Verona Oversized Tufted Ottoman Bench in Navy Blue - Storage Footrest for Living Room,Living,165,289,3
MAT-013,Casper Sleep Original Queen Memory Foam Mattress - Medium Firm Support with AirScape Cooling,Bedroom,520,995,5
ACC-014,Coastal Farmhouse Wall Decor Set of 3 Wooden Signs - Beach Inspired Home Accents,Living,45,89,4
CUR-015,Blackout Curtain Panels Set of 2 in Charcoal Gray - Thermal Insulated Window Treatment,Living,75,139,3
OTM-016,Alma Dark Brown Leather Reclining Ottoman with Tray Top - Living Room Footrest,Seating,125,219,1
BOO-017,Modular 6-Cube Bookshelf Organizer in Espresso Brown - Freestanding Storage System,Storage,95,179,2
CHA-018,Bermuda Outdoor Patio Dining Chair Set of 4 in Teak Wood - Weather Resistant Seating,Outdoor,220,399,4
SOF-019,Blake 72" Sofa Bed with Trundle Storage in Navy Blue Microfiber - Convertible Furniture,Couches,395,679,3
DIN-020,Monterey Rustic Farmhouse Rectangular Dining Table in Distressed Brown - Seats 6 People,Dining,520,899,2
